Wavelength ,QE 
450,85
451,85.19
452,85.38
453,85.57
454,85.74
455,85.92
456,86.08
457,86.24
458,86.4
459,86.55
460,86.7
461,86.84
462,86.97
463,87.11
464,87.24
465,87.36
466,87.48
467,87.59
468,87.71
469,87.81
470,87.92
471,88.02
472,88.12
473,88.21
474,88.3
475,88.39
476,88.48
477,88.56
478,88.64
479,88.72
480,88.79
481,88.87
482,88.94
483,89.01
484,89.07
485,89.14
486,89.2
487,89.27
488,89.33
489,89.39
490,89.45
491,89.5
492,89.56
493,89.62
494,89.67
495,89.73
496,89.78
497,89.84
498,89.89
499,89.95
500,90
501,90.05
502,90.11
503,90.16
504,90.22
505,90.28
506,90.33
507,90.39
508,90.44
509,90.5
510,90.55
511,90.61
512,90.66
513,90.71
514,90.77
515,90.82
516,90.87
517,90.93
518,90.98
519,91.03
520,91.08
521,91.13
522,91.18
523,91.22
524,91.27
525,91.32
526,91.36
527,91.41
528,91.45
529,91.49
530,91.53
531,91.57
532,91.61
533,91.64
534,91.68
535,91.71
536,91.74
537,91.77
538,91.8
539,91.83
540,91.85
541,91.88
542,91.9
543,91.92
544,91.94
545,91.95
546,91.97
547,91.98
548,91.99
549,91.99
550,92
551,92
552,92
553,92
554,92
555,91.99
556,91.98
557,91.97
558,91.96
559,91.95
560,91.93
561,91.91
562,91.89
563,91.87
564,91.84
565,91.82
566,91.79
567,91.76
568,91.73
569,91.7
570,91.66
571,91.63
572,91.59
573,91.55
574,91.51
575,91.46
576,91.42
577,91.37
578,91.33
579,91.28
580,91.23
581,91.18
582,91.13
583,91.07
584,91.02
585,90.96
586,90.9
587,90.85
588,90.79
589,90.73
590,90.66
591,90.6
592,90.54
593,90.47
594,90.41
595,90.34
596,90.28
597,90.21
598,90.14
599,90.07
600,90
601,89.93
602,89.86
603,89.79
604,89.71
605,89.64
606,89.56
607,89.49
608,89.41
609,89.34
610,89.26
611,89.18
612,89.1
613,89.02
614,88.93
615,88.85
616,88.77
617,88.68
618,88.59
619,88.51
620,88.42
621,88.33
622,88.23
623,88.14
624,88.05
625,87.95
626,87.85
627,87.75
628,87.65
629,87.55
630,87.45
631,87.34
632,87.24
633,87.13
634,87.02
635,86.91
636,86.79
637,86.68
638,86.56
639,86.44
640,86.32
641,86.2
642,86.07
643,85.94
644,85.82
645,85.69
646,85.55
647,85.42
648,85.28
649,85.14
650,85
651,84.86
652,84.71
653,84.56
654,84.41
655,84.26
656,84.11
657,83.95
658,83.79
659,83.63
660,83.46
661,83.3
662,83.13
663,82.96
664,82.79
665,82.61
666,82.43
667,82.25
668,82.07
669,81.89
670,81.7
671,81.51
672,81.32
673,81.13
674,80.93
675,80.73
676,80.53
677,80.33
678,80.12
679,79.92
680,79.71
681,79.49
682,79.28
683,79.06
684,78.84
685,78.62
686,78.4
687,78.17
688,77.94
689,77.71
690,77.47
691,77.24
692,77
693,76.76
694,76.51
695,76.27
696,76.02
697,75.77
698,75.51
699,75.26
700,75
